Source (Latin),Target (Telugu),Prediction,Status,Character Accuracy
amkamlo,అంకంలో,అంకంలో,✓ Correct,100.00%
ankamlo,అంకంలో,అంకంలో,✓ Correct,100.00%
ankamloo,అంకంలో,అంకంలో,✓ Correct,100.00%
amkitamai,అంకితమై,అంకితమై,✓ Correct,100.00%
ankitamai,అంకితమై,అంకితమై,✓ Correct,100.00%
ankela,అంకెల,అంకెల,✓ Correct,100.00%
ankelanu,అంకెలను,అంకెలను,✓ Correct,100.00%
angeekarinchaka,అంగీకరించక,అంగీకరించక,✓ Correct,100.00%
amgiikarimchaadu,అంగీకరించాడు,అంగీకరించాడు,✓ Correct,100.00%
angeekarinchaadu,అంగీకరించాడు,అంగీకరించాడు,✓ Correct,100.00%
angiikarinchaadu,అంగీకరించాడు,అంగీకరించాడు,✓ Correct,100.00%
angeekarinchaali,అంగీకరించాలి,అంగీకరించాలి,✓ Correct,100.00%
angikarinchaali,అంగీకరించాలి,అంగీకరించాలి,✓ Correct,100.00%
angeekarinchi,అంగీకరించి,అంగీకరించి,✓ Correct,100.00%
angikarinchi,అంగీకరించి,అంగీకరించి,✓ Correct,100.00%
